,customer_id,season,season_first,sum_customer_transaction,gender,region,crop,literacy,has_phone,community_received_premium
0,145795,2018 major,2018 major,20.0,M,GH-NP,Maize,none,no_phone,premium_paid
1,186147,2018 major,2018 major,2.0,undefined,GH-NP,Groundnut,native_rw,no_phone,premium_paid
2,21715,2017 major,2017 major,1.0,F,GH-NP,Maize,none,no_phone,premium_paid
3,331,2016 major,2016 major,20.0,M,GH-NP,Rice,none,yes_phone,premium_paid
4,193812,2018 major,2018 major,5.0,undefined,GH-NP,Maize,native_rw,yes_phone,premium_paid
5,104,2016 major,2016 major,5.0,undefined,GH-NP,Rice,native_rw,no_phone,not_premium_paid
6,194515,2018 major,2018 major,5.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
7,173027,2018 major,2018 major,5.0,M,GH-NP,Maize,none,no_phone,not_premium_paid
8,204217,2018 minor,2018 minor,20.0,M,GH-AH,Maize,native_rw,yes_phone,premium_paid
9,193242,2018 major,2018 major,5.0,undefined,GH-NP,Groundnut,native_rw,no_phone,not_premium_paid
10,206328,2019 major,2019 major,5.0,M,GH-AH,Rice,native_rw,yes_phone,not_premium_paid
11,194907,2018 major,2018 major,10.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
12,158321,2018 major,2018 major,20.0,M,GH-NP,Maize,none,no_phone,premium_paid
13,206310,2019 major,2019 major,4.0,undefined,GH-NP,Groundnut,native_rw,no_phone,not_premium_paid
14,130516,2018 major,2018 major,1.0,F,GH-NP,Maize,none,no_phone,premium_paid
15,37372,2017 major,2017 major,1.0,M,GH-NP,Maize,native_rw,yes_phone,not_premium_paid
16,198605,2018 major,2018 major,5.0,undefined,GH-UE,Maize,native_rw,no_phone,premium_paid
17,182639,2018 major,2018 major,5.0,undefined,GH-BA,Maize,native_rw,yes_phone,premium_paid
18,196424,2018 major,2018 major,5.0,undefined,GH-UE,Rice,native_rw,no_phone,premium_paid
19,191556,2018 major,2018 major,6.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
20,181649,2018 major,2018 major,1.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
21,194638,2018 major,2018 major,20.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
22,1600,2016 major,2016 major,10.0,undefined,GH-UE,Groundnut,native_rw,no_phone,not_premium_paid
23,173143,2019 major,2017 major,8.0,F,GH-NP,Maize,none,no_phone,premium_paid
24,2630,2016 major,2016 major,10.0,F,GH-UE,Maize,none,no_phone,not_premium_paid
25,186639,2018 major,2018 major,20.0,undefined,GH-NP,Rice,native_rw,no_phone,not_premium_paid
26,206387,2019 major,2019 major,20.0,M,GH-AH,Maize,native_rw,yes_phone,premium_paid
27,6270,2017 major,2017 major,5.0,M,GH-NP,Maize,none,yes_phone,not_premium_paid
28,10376,2018 major,2018 major,20.0,M,GH-NP,Maize,native_rw,yes_phone,not_premium_paid
29,185614,2018 major,2018 major,1.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
30,38345,2018 major,2017 major,10.0,M,GH-NP,Maize,native_rw,yes_phone,not_premium_paid
31,177579,2018 major,2018 major,20.0,M,GH-NP,Maize,native_rw,no_phone,premium_paid
32,196646,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
33,671,2018 major,2016 major,20.0,M,GH-UW,Maize,none,no_phone,not_premium_paid
34,45569,2018 major,2018 major,5.0,M,GH-NP,Maize,native_rw,yes_phone,not_premium_paid
35,254,2018 major,2018 major,10.0,undefined,GH-NP,Rice,native_rw,no_phone,not_premium_paid
36,205089,2018 minor,2018 minor,20.0,M,GH-AH,Maize,native_rw,yes_phone,premium_paid
37,195970,2018 major,2018 major,5.0,undefined,GH-UE,Sorghum,native_rw,no_phone,not_premium_paid
38,12195,2018 major,2017 major,5.0,M,GH-NP,Maize,none,yes_phone,not_premium_paid
39,198593,2018 major,2018 major,12.0,undefined,GH-UE,Rice,native_rw,no_phone,premium_paid
40,180643,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
41,121150,2019 major,2018 major,8.0,M,GH-NP,Maize,native_rw,no_phone,premium_paid
42,194716,2018 major,2018 major,10.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
43,187129,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
44,118282,2018 major,2018 major,5.0,F,GH-NP,Groundnut,none,no_phone,premium_paid
45,173143,2017 major,2017 major,2.0,F,GH-NP,Maize,none,no_phone,premium_paid
46,186806,2018 major,2018 major,10.0,undefined,GH-BA,Groundnut,native_rw,no_phone,premium_paid
47,1302,2016 major,2016 major,20.0,undefined,GH-UW,Maize,native_rw,yes_phone,not_premium_paid
48,2891,2016 major,2016 major,30.0,undefined,GH-UE,Groundnut,native_rw,no_phone,not_premium_paid
49,172624,2018 major,2018 major,9.0,F,GH-NP,Maize,none,no_phone,not_premium_paid
50,173131,2017 major,2017 major,1.0,F,GH-NP,Maize,none,no_phone,premium_paid
51,182019,2018 major,2018 major,5.0,undefined,GH-NP,Maize,native_rw,yes_phone,not_premium_paid
52,1599,2016 major,2016 major,40.0,undefined,GH-UE,Groundnut,native_rw,no_phone,not_premium_paid
53,192588,2018 major,2018 major,5.0,undefined,GH-BA,Groundnut,native_rw,yes_phone,premium_paid
54,195984,2018 major,2018 major,40.0,undefined,GH-UE,Maize,native_rw,no_phone,not_premium_paid
55,195071,2019 major,2018 major,3.0,undefined,GH-NP,Groundnut,native_rw,no_phone,premium_paid
56,182369,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
57,202838,2019 major,2018 minor,40.0,F,GH-AH,Maize,native_rw,no_phone,premium_paid
58,181585,2018 major,2018 major,5.0,undefined,GH-NP,Groundnut,native_rw,no_phone,not_premium_paid
59,1903,2019 major,2016 major,,undefined,GH-UE,Maize,native_rw,no_phone,not_premium_paid
60,188715,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
61,185599,2018 major,2018 major,10.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
62,767,2017 major,2016 major,18.0,undefined,GH-UW,Maize,native_rw,yes_phone,not_premium_paid
63,182267,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
64,199967,2018 major,2018 major,15.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
65,180903,2018 major,2018 major,20.0,undefined,GH-UW,Maize,native_rw,no_phone,premium_paid
66,192739,2019 major,2018 major,15.0,undefined,GH-UW,Sorghum,native_rw,no_phone,premium_paid
67,3153,2018 major,2018 major,20.0,M,GH-NP,Maize,none,yes_phone,not_premium_paid
68,2525,2016 major,2016 major,10.0,F,GH-UE,Maize,none,no_phone,not_premium_paid
69,1058,2016 major,2016 major,36.0,undefined,GH-UW,Maize,native_rw,no_phone,premium_paid
70,185631,2019 major,2018 major,14.0,undefined,GH-UW,Maize,native_rw,no_phone,premium_paid
71,177726,2018 major,2018 major,20.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
72,182559,2018 major,2018 major,1.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
73,23165,2018 major,2017 major,10.0,F,GH-NP,Groundnut,none,no_phone,premium_paid
74,192558,2018 major,2018 major,5.0,undefined,GH-BA,Groundnut,native_rw,yes_phone,premium_paid
75,202034,2019 minor,2019 minor,20.0,undefined,GH-BA,Rice,native_rw,yes_phone,not_premium_paid
76,186189,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
77,181413,2018 major,2018 major,1.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
78,191506,2018 major,2018 major,10.0,undefined,GH-NP,Rice,native_rw,no_phone,not_premium_paid
79,196785,2018 major,2018 major,2.0,undefined,GH-NP,Groundnut,native_rw,no_phone,not_premium_paid
80,6297,2017 major,2017 major,7.0,M,GH-NP,Maize,none,no_phone,not_premium_paid
81,394,2017 major,2016 major,20.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
82,2453,2016 major,2016 major,5.0,undefined,GH-UE,Groundnut,native_rw,no_phone,not_premium_paid
83,203595,2018 minor,2018 minor,20.0,undefined,GH-AH,Maize,native_rw,yes_phone,premium_paid
84,181150,2018 major,2018 major,1.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
85,191123,2018 major,2018 major,20.0,undefined,GH-NP,Rice,native_rw,no_phone,not_premium_paid
86,205896,2019 major,2019 major,10.0,M,GH-AH,Maize,native_rw,no_phone,premium_paid
87,17562,2018 major,2017 major,20.0,M,GH-NP,Maize,native_rw,yes_phone,premium_paid
88,205651,2019 major,2019 major,20.0,M,GH-AH,Maize,native_rw,yes_phone,premium_paid
89,1268,2018 major,2016 major,5.0,undefined,GH-UW,Maize,native_rw,no_phone,not_premium_paid
90,6085,2017 major,2017 major,2.0,F,GH-NP,Maize,none,no_phone,premium_paid
91,101466,2018 major,2018 major,5.0,M,GH-NP,Maize,native_rw,no_phone,not_premium_paid
92,50109,2018 major,2018 major,20.0,F,GH-NP,Maize,native_rw,no_phone,not_premium_paid
93,170360,2018 major,2018 major,10.0,F,GH-NP,Maize,native_rw,no_phone,not_premium_paid
94,134010,2019 major,2019 major,8.0,M,GH-NP,Maize,none,yes_phone,premium_paid
95,198569,2018 major,2018 major,5.0,undefined,GH-UE,Sorghum,native_rw,no_phone,not_premium_paid
96,182547,2018 major,2018 major,1.0,undefined,GH-NP,Groundnut,native_rw,no_phone,not_premium_paid
97,183278,2018 major,2018 major,5.0,undefined,GH-NP,Sorghum,native_rw,no_phone,premium_paid
98,146520,2018 major,2018 major,2.0,F,GH-NP,Groundnut,none,no_phone,not_premium_paid
99,2915,2016 major,2016 major,8.0,undefined,GH-UE,Maize,native_rw,no_phone,not_premium_paid
100,192376,2018 major,2018 major,2.0,undefined,GH-NP,Maize,native_rw,no_phone,not_premium_paid
101,192637,2018 minor,2018 minor,7.0,undefined,GH-BA,Groundnut,native_rw,no_phone,premium_paid
102,1921,2016 major,2016 major,5.0,undefined,GH-UE,Groundnut,native_rw,no_phone,not_premium_paid
103,78405,2018 major,2018 major,4.0,M,GH-NP,Maize,none,yes_phone,not_premium_paid
104,193975,2018 major,2018 major,5.0,undefined,GH-NP,Sorghum,native_rw,no_phone,not_premium_paid
105,171935,2018 major,2018 major,20.0,F,GH-NP,Groundnut,none,no_phone,premium_paid
106,198494,2019 major,2018 major,8.0,undefined,GH-UE,Sorghum,native_rw,no_phone,premium_paid
107,202631,2018 minor,2018 minor,20.0,undefined,GH-BA,Maize,native_rw,yes_phone,premium_paid
108,170664,2018 major,2018 major,10.0,undefined,GH-UW,Maize,native_rw,yes_phone,premium_paid
109,13346,2018 major,2017 major,1.0,M,GH-NP,Groundnut,none,no_phone,not_premium_paid
110,170589,2018 major,2018 major,4.0,M,GH-NP,Maize,none,no_phone,premium_paid
111,120531,2018 major,2018 major,12.0,M,GH-NP,Maize,none,yes_phone,premium_paid
112,180240,2018 major,2018 major,5.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
113,195519,2018 major,2018 major,20.0,undefined,GH-UE,Groundnut,native_rw,no_phone,not_premium_paid
114,1258,2017 major,2016 major,3.0,undefined,GH-UW,Maize,native_rw,no_phone,not_premium_paid
115,193053,2018 minor,2018 minor,5.0,undefined,GH-BA,Groundnut,native_rw,yes_phone,premium_paid
116,174183,2018 major,2018 major,2.0,M,GH-NP,Maize,native_rw,no_phone,premium_paid
117,194533,2018 major,2018 major,1.0,undefined,GH-NP,Groundnut,native_rw,no_phone,premium_paid
118,53132,2019 major,2018 major,5.0,M,GH-UW,Maize,none,yes_phone,premium_paid
119,203849,2019 major,2019 major,20.0,M,GH-BA,Rice,native_rw,no_phone,premium_paid
120,201960,2018 minor,2018 minor,120.0,M,GH-AH,Maize,native_rw,yes_phone,premium_paid
121,167052,2019 major,2019 major,4.0,M,GH-NP,Maize,none,no_phone,not_premium_paid
122,200429,2018 major,2018 major,30.0,undefined,GH-UE,Maize,native_rw,no_phone,not_premium_paid
123,11821,2018 major,2017 major,1.0,F,GH-NP,Maize,none,no_phone,not_premium_paid
124,198601,2018 major,2018 major,20.0,undefined,GH-UE,Maize,native_rw,no_phone,premium_paid
125,2361,2016 major,2016 major,10.0,undefined,GH-UE,Maize,native_rw,no_phone,not_premium_paid
126,205106,2018 minor,2018 minor,20.0,F,GH-AH,Maize,native_rw,no_phone,premium_paid
127,187124,2019 major,2018 major,4.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
128,183384,2018 major,2018 major,4.0,undefined,GH-NP,Maize,native_rw,no_phone,premium_paid
